"source","Gene_group","n","mean_enrichment","median_enrichment","sd_enrichment"
"1000genomes","pooled",3674,1.83821500833159,1.37622268587069,2.13285301163763
"1000genomes","RN7SK",293,1.53535841282261,1.55396362316026,0.686142735352642
"1000genomes","RN7SL",684,1.2441511182174,1.26037902544386,0.679354791292463
"1000genomes","RNU1",151,1.92477501820038,1.43532427360746,2.54900930911482
"1000genomes","RNU11",6,4.53571422676226,2.28680611712347,7.00094684042634
"1000genomes","RNU12",2,8.11053902873125,8.11053902873125,11.470034292588
"1000genomes","RNU2",85,1.5799535075182,1.14825941888597,2.15297939916509
"1000genomes","RNU4",102,1.62591373176492,1.33216125033521,2.46284357154266
"1000genomes","RNU4ATAC",18,2.17927845888759,1.38664406051249,3.30177215295519
"1000genomes","RNU5",46,4.34010409608964,1.32226927908133,7.42689262753821
"1000genomes","RNU6",1286,1.4054160616259,1.31191321456832,1.02437978255646
"1000genomes","RNU6ATAC",42,1.52634475774057,1.48544670855884,0.837318387974061
"1000genomes","RNU7",175,1.19202346287558,0.779859521993389,1.53240969840397
"1000genomes","RNY",79,1.44455986818172,1.37622268587069,1.06252531835939
"1000genomes","TRNA",705,3.38363014113686,2.00535305655443,3.07468545454987
"gnomad","pooled",3674,1.68033968710299,1.16130425341916,1.6132455746619
"gnomad","RN7SK",293,1.1833156751339,1.10130993447122,0.54057222863845
"gnomad","RN7SL",684,1.29828997532689,1.13108551907595,0.833299851934382
"gnomad","RNU1",151,1.74915710967541,1.21617047978417,1.67456504467609
"gnomad","RNU11",6,2.50783623898183,1.02865123605169,3.60775452361831
"gnomad","RNU12",2,4.87722970980111,4.87722970980111,5.78495336976299
"gnomad","RNU2",85,1.43890829656661,1.13080930771598,1.47185203788427
"gnomad","RNU4",102,1.41034167729785,1.11487235965568,1.43738955532168
"gnomad","RNU4ATAC",18,1.63825382774702,1.12481664342642,2.07548909432165
"gnomad","RNU5",46,2.62805384513216,1.15484725853473,3.43197498029019
"gnomad","RNU6",1286,1.1972486824279,1.1027803082155,0.603136015377474
"gnomad","RNU6ATAC",42,1.2931069782751,1.09039781296729,0.924613758773179
"gnomad","RNU7",175,1.19354182112172,1.00588026801821,1.00749684163175
"gnomad","RNY",79,1.36373052132649,1.08164368564137,0.928088282026985
"gnomad","TRNA",705,3.29472913961007,2.53262911759932,2.47021788469524
"pangenome","pooled",3674,1.45655436262396,1.04117638998395,2.18144531292636
"pangenome","RN7SK",293,1.15661334498912,0.961219287441734,0.8442381569128
"pangenome","RN7SL",684,1.24715670479827,0.957949834083089,1.21896195942799
"pangenome","RNU1",151,2.30956854275683,1.1176081397636,3.59058645495765
"pangenome","RNU11",6,1.58319460157836,1.07520195575789,1.43441453544608
"pangenome","RNU12",2,2.79831884225425,2.79831884225425,2.68083321386332
"pangenome","RNU2",85,1.12041395023663,0.74115066110639,1.6441876968974
"pangenome","RNU4",102,1.31379688336691,0.998713656810029,1.95649650902215
"pangenome","RNU4ATAC",18,0.861174331261713,0,1.10096054470744
"pangenome","RNU5",46,3.08008648103063,1.2035779966685,6.03182600728558
"pangenome","RNU6",1286,1.17420312449924,1.31606192159079,1.4686453346513
"pangenome","RNU6ATAC",42,1.26862417054913,1.1176081397636,1.32945016755482
"pangenome","RNU7",175,0.914791516237928,0,1.58737451335679
"pangenome","RNY",79,0.970725579362935,0,1.18287682084603
"pangenome","TRNA",705,2.28239194825857,1.44458543144289,3.30227800926602
"dbsnp","pooled",3674,1.42154072917864,1.230957899558,0.796000767035484
"dbsnp","RN7SK",293,1.19790254265889,1.21060855142201,0.277925831502716
"dbsnp","RN7SL",684,1.19772122853197,1.2030019097242,0.313552361168092
"dbsnp","RNU1",151,1.44564168095735,1.28082667592914,0.733467659192214
"dbsnp","RNU11",6,1.6200437625274,1.1607827252725,1.18242858835271
"dbsnp","RNU12",2,2.7359927325193,2.7359927325193,2.48379435968663
"dbsnp","RNU2",85,1.34946461582207,1.24969906143925,0.657696917401004
"dbsnp","RNU4",102,1.28517961823432,1.24054061085262,0.554409315906301
"dbsnp","RNU4ATAC",18,1.37151317706922,1.17878658970486,0.889223816683868
"dbsnp","RNU5",46,1.8361287331077,1.3618573281992,1.33075743808979
"dbsnp","RNU6",1286,1.17557147784377,1.16863007339646,0.35917123786617
"dbsnp","RNU6ATAC",42,1.19090702824159,1.1340448633091,0.527944785532777
"dbsnp","RNU7",175,1.13668845601879,1.1204607334536,0.449521945148115
"dbsnp","RNY",79,1.26344914293615,1.15780942456872,0.532816269383755
"dbsnp","TRNA",705,2.27454153435341,2.11221989617266,1.23659546644968
