Gene,Max_TPM,Max_FPKM
RNU1-3,3491.76,4155.67
RNU1-133P,0.0,0.0
RNU1-130P,0.0,0.0
RNU1-21P,0.0,0.0
RNU1-70P,2.99,3.78
RNU1-67P,1.46,1.83
RNU1-49P,0.0,0.0
RNU1-2,3491.76,4887.81
RNU1-27P,5229.08,6836.16
RNU1-139P,0.0,0.0
RNU1-63P,0.0,0.0
RNU1-62P,0.0,0.0
RNU1-33P,0.4,0.44
RNU1-61P,0.0,0.0
RNU1-151P,0.0,0.0
RNU1-43P,0.0,0.0
RNU1-101P,0.0,0.0
RNU1-45P,0.0,0.0
RNU1-42P,0.0,0.0
RNU1-57P,0.0,0.0
RNU1-11P,0.6,0.75
RNU1-97P,0.0,0.0
RNU1-8P,0.0,0.0
RNU1-6P,0.5,0.69
RNU1-34P,3.38,4.09
RNU1-16P,2.96,3.37
RNU1-55P,0.0,0.0
RNU1-18P,0.0,0.0
RNU1-75P,0.0,0.0
RNU1-44P,0.0,0.0
RNU1-146P,0.74,1.17
RNU1-48P,0.0,0.0
RNU1-105P,0.0,0.0
RNU1-131P,0.0,0.0
RNU1-142P,0.0,0.0
RNU1-46P,0.0,0.0
RNU1-95P,0.0,0.0
RNU1-91P,2.7,3.22
RNU1-64P,0.0,0.0
RNU1-88P,0.0,0.0
RNU1-31P,0.65,0.72
RNU1-93P,1.07,1.08
RNU1-24P,0.0,0.0
RNU1-38P,0.0,0.0
RNU1-28P,5229.08,6836.16
RNU1-132P,0.0,0.0
RNU1-104P,0.0,0.0
RNU1-1,3491.76,4155.67
RNU1-30P,0.67,0.86
RNU1-107P,0.0,0.0
RNU1-84P,0.0,0.0
RNU1-47P,0.44,0.43
RNU1-72P,1.0,1.3
RNU1-149P,0.26,0.31
RNU1-68P,0.0,0.0
RNU1-39P,0.78,5.0
RNU1-56P,0.35,0.48
RNU1-4,3491.76,4585.69
RNU1-40P,0.0,0.0
RNU1-20P,0.0,0.0
RNU1-141P,0.0,0.0
RNU1-96P,0.0,0.0
RNU1-138P,0.0,0.0
RNU1-74P,0.0,0.0
RNU1-79P,,
RNU1-32P,0.0,0.0
RNU1-54P,0.0,0.0
RNU1-108P,0.87,1.13
RNU1-119P,0.34,0.47
RNU1-103P,1.5,1.88
RNU1-128P,0.0,0.0
RNU1-155P,,
RNU1-117P,0.0,0.0
RNU1-140P,0.0,0.0
RNU1-36P,0.0,0.0
RNU1-98P,0.0,0.0
RNU1-115P,0.0,0.0
RNU1-136P,0.0,0.0
RNU1-129P,0.0,0.0
RNU1-148P,0.0,0.0
RNU1-100P,0.88,1.55
RNU1-7P,0.0,0.0
RNU1-22P,0.0,0.0
RNU1-23P,0.0,0.0
RNU1-123P,2.13,2.68
RNU1-17P,0.0,0.0
RNU1-78P,0.0,0.0
RNU1-82P,0.0,0.0
RNU1-14P,0.0,0.0
RNU1-77P,0.41,0.61
RNU1-83P,0.36,0.53
RNU1-41P,0.31,0.38
RNU1-94P,0.54,0.7
RNU1-150P,0.0,0.0
RNU1-19P,0.59,0.74
RNU1-124P,1.13,1.32
RNU1-65P,0.0,0.0
RNU1-86P,0.0,0.0
RNU1-80P,0.0,0.0
RNU1-114P,0.0,0.0
RNU1-15P,0.0,0.0
RNU1-109P,3.24,4.09
RNU1-5P,0.5,0.69
RNU1-112P,0.0,0.0
RNU1-73P,1.54,1.98
RNU1-89P,0.56,0.54
RNU1-76P,0.0,0.0
RNU1-125P,38.8,51.23
RNU1-153P,,
RNU1-143P,0.0,0.0
RNU1-52P,0.0,0.0
RNU1-51P,0.49,0.56
RNU1-35P,0.0,0.0
RNU1-29P,0.0,0.0
RNU1-134P,1.77,2.23
RNU1-58P,0.0,0.0
RNU1-116P,,
RNU1-154P,,
