Gene,Max_TPM,Max_FPKM
RN7SKP131,0.38,0.48
RN7SKP113,0.0,0.0
RN7SKP43,1.58,2.0
RN7SKP237,0.0,0.0
RN7SKP10,0.0,0.0
RN7SKP100,0.0,0.0
RN7SKP296,2.2,6.17
RN7SKP278,0.0,0.0
RN7SKP171,0.0,0.0
RN7SKP170,0.2,0.26
RN7SKP183,0.0,0.0
RN7SKP251,0.21,0.26
RN7SKP66,0.0,0.0
RN7SKP135,0.0,0.0
RN7SKP249,0.15,0.2
RN7SKP288,2.17,2.07
RN7SKP38,0.73,2.26
RN7SKP12,0.0,0.0
RN7SKP42,0.0,0.0
RN7SKP272,0.0,0.0
RN7SKP65,0.0,0.0
RN7SKP89,0.47,0.53
RN7SKP108,0.0,0.0
RN7SKP276,0.25,2.07
RN7SKP173,1.83,2.29
RN7SKP196,0.0,0.0
RN7SKP86,0.11,0.53
RN7SKP167,0.0,0.0
RN7SKP154,4.1,5.0
RN7SKP124,1.65,3.12
RN7SKP127,1.01,1.2
RN7SKP247,0.0,0.0
RN7SKP37,0.0,0.0
RN7SKP166,0.19,0.21
RN7SKP106,0.85,3.45
RN7SKP97,1.26,3.1
RN7SKP74,0.0,0.0
RN7SKP116,3.58,5.29
RN7SKP2,0.57,0.72
RN7SKP26,5.81,7.34
RN7SKP19,0.0,0.0
RN7SKP193,0.0,0.0
RN7SKP163,0.0,0.0
RN7SKP159,0.0,0.0
RN7SKP293,0.0,0.0
RN7SKP280,0.0,0.0
RN7SKP75,0.0,0.0
RN7SKP81,0.0,0.0
RN7SKP139,0.5,0.8
RN7SKP235,0.14,0.16
RN7SKP230,0.0,0.0
RN7SKP61,0.0,0.0
RN7SKP63,0.38,0.48
RN7SKP40,0.58,0.69
RN7SKP64,0.0,0.0
RN7SKP263,0.0,0.0
RN7SKP295,0.0,0.0
RN7SKP228,0.88,1.05
RN7SKP51,0.0,0.0
RN7SKP197,0.25,0.32
RN7SKP105,0.0,0.0
RN7SKP125,0.0,0.0
RN7SKP103,3.39,5.1
RN7SKP165,0.09,0.12
RN7SKP71,3.61,3.47
RN7SKP36,0.0,0.0
RN7SKP121,0.0,0.0
RN7SKP156,0.26,0.66
RN7SKP194,0.0,0.0
RN7SKP214,0.33,0.4
RN7SKP218,0.0,0.0
RN7SKP118,0.17,0.21
RN7SKP94,0.0,0.0
RN7SKP292,5.53,6.98
RN7SKP82,0.0,0.0
RN7SKP72,0.2,0.25
RN7SKP102,0.0,0.0
RN7SKP5,0.37,0.49
RN7SKP136,0.0,0.0
RN7SKP141,0.0,0.0
RN7SKP239,3.94,5.3
RN7SKP245,1.57,1.79
RN7SKP78,4.26,5.38
RN7SKP68,0.0,0.0
RN7SKP14,0.0,0.0
RN7SKP146,0.0,0.0
RN7SKP213,0.0,0.0
RN7SKP284,0.0,0.0
RN7SKP219,0.0,0.0
RN7SKP176,0.85,1.07
RN7SKP188,0.0,0.0
RN7SKP236,0.0,0.0
RN7SKP80,3.87,4.44
RN7SKP298,0.0,0.0
RN7SKP223,0.0,0.0
RN7SKP234,1.75,2.21
RN7SKP229,0.0,0.0
RN7SKP151,2.09,3.39
RN7SKP31,0.0,0.0
RN7SKP47,0.0,0.0
RN7SKP285,0.0,0.0
RN7SKP148,0.0,0.0
RN7SKP17,0.0,0.0
RN7SKP1,0.0,0.0
RN7SKP62,0.0,0.0
RN7SKP48,0.14,0.17
RN7SKP91,0.0,0.0
RN7SKP221,0.23,0.94
RN7SKP273,0.72,0.82
RN7SKP270,0.0,0.0
RN7SKP182,0.0,0.0
RN7SKP8,0.0,0.0
RN7SKP60,0.0,0.0
RN7SKP169,0.0,0.0
RN7SKP33,0.0,0.0
RN7SKP115,1.29,2.73
RN7SKP204,0.24,0.3
RN7SKP153,0.17,0.17
RN7SKP250,0.0,0.0
RN7SKP179,0.0,0.0
RN7SKP202,0.54,0.65
RN7SKP257,0.0,0.0
RN7SKP252,0.0,0.0
RN7SKP266,0.0,0.0
RN7SKP198,1.0,1.35
RN7SKP35,0.55,0.66
RN7SKP158,0.0,0.0
RN7SKP145,0.0,0.0
RN7SKP45,0.0,0.0
RN7SKP6,0.0,0.0
RN7SKP254,0.2,0.22
RN7SKP261,0.0,0.0
RN7SKP246,0.0,0.0
RN7SKP120,0.0,0.0
RN7SKP152,0.13,0.14
RN7SKP16,9.14,11.54
RN7SKP175,0.86,1.1
RN7SKP178,0.0,0.0
RN7SKP95,4.96,16.71
RN7SKP287,0.0,0.0
RN7SKP220,0.0,0.0
RN7SKP69,0.11,0.15
RN7SKP21,0.0,0.0
RN7SKP195,4.26,4.1
RN7SKP99,0.31,0.38
RN7SKP222,0.0,0.0
RN7SKP283,2.52,14.69
RN7SKP9,5.84,7.39
RN7SKP20,0.0,0.0
RN7SKP57,0.51,0.61
RN7SKP200,0.0,0.0
RN7SKP289,0.0,0.0
RN7SKP241,0.33,0.37
RN7SKP271,0.0,0.0
RN7SKP286,0.0,0.0
RN7SKP216,0.0,0.0
RN7SKP117,0.0,0.0
RN7SKP184,2.12,2.43
RN7SKP96,1.18,1.85
RN7SKP203,5.28,16.16
RN7SKP85,0.18,0.2
RN7SKP83,0.0,0.0
RN7SKP224,0.0,0.0
RN7SKP277,0.0,0.0
RN7SKP144,0.0,0.0
RN7SKP265,0.0,0.0
RN7SKP50,2.21,2.17
RN7SKP73,0.0,0.0
RN7SKP112,0.0,0.0
RN7SKP243,0.0,0.0
RN7SKP130,0.0,0.0
RN7SKP209,0.0,0.0
RN7SKP132,0.0,0.0
RN7SKP76,0.0,0.0
RN7SKP123,0.0,0.0
RN7SKP240,1.5,1.72
RN7SKP53,0.0,0.0
RN7SKP190,0.12,0.15
RN7SKP133,0.0,0.0
RN7SKP77,0.0,0.0
RN7SKP155,0.0,0.0
RN7SKP186,0.0,0.0
RN7SKP98,0.0,0.0
RN7SKP162,0.0,0.0
RN7SKP104,0.0,0.0
RN7SKP164,0.0,0.0
