Gene,Max_TPM,Max_FPKM
RN7SKP210,0.0,0.0
RN7SKP30,5.78,22.57
RN7SKP54,7.91,11.28
RN7SKP49,0.0,0.0
RN7SKP13,0.0,0.0
RN7SKP93,0.0,0.0
RN7SKP187,1.13,1.42
RN7SKP248,0.55,0.57
RN7SKP161,0.0,0.0
RN7SKP267,0.0,0.0
RN7SKP109,0.0,0.0
RN7SKP297,0.54,0.69
RN7SKP192,0.12,0.14
RN7SKP290,0.0,0.0
RN7SKP129,0.0,0.0
RN7SKP11,0.41,1.37
RN7SKP126,0.0,0.0
RN7SKP67,0.0,0.0
RN7SKP143,0.0,0.0
RN7SKP208,0.0,0.0
RN7SKP88,0.29,0.35
RN7SKP226,0.25,0.31
RN7SKP238,0.0,0.0
RN7SKP39,0.0,0.0
RN7SKP258,0.8,1.45
RN7SKP259,0.0,0.0
RN7SKP44,0.0,0.0
RN7SKP264,1.81,4.69
RN7SKP92,2.56,11.59
RN7SKP205,0.0,0.0
RN7SKP46,0.0,0.0
RN7SKP147,0.0,0.0
RN7SKP25,1.23,1.38
RN7SKP231,0.0,0.0
RN7SKP255,57.46,81.36
RN7SKP128,0.0,0.0
RN7SKP256,0.0,0.0
RN7SKP211,0.0,0.0
RN7SK,182.95,715.61
RN7SKP111,0.0,0.0
RN7SKP70,6.74,8.51
RN7SKP185,0.86,1.05
RN7SKP55,0.0,0.0
RN7SKP217,0.13,0.16
RN7SKP4,0.7,0.88
RN7SKP18,0.0,0.0
RN7SKP232,0.26,0.33
RN7SKP101,0.0,0.0
RN7SKP114,0.13,0.17
RN7SKP199,0.0,0.0
RN7SKP32,0.0,0.0
RN7SKP242,0.2,0.26
RN7SKP233,0.0,0.0
RN7SKP134,1.83,2.31
RN7SKP181,0.0,0.0
RN7SKP279,0.0,0.0
RN7SKP172,0.25,0.32
RN7SKP174,0.0,0.0
RN7SKP59,0.0,0.0
RN7SKP260,0.0,0.0
RN7SKP225,0.3,0.35
RN7SKP282,0.0,0.0
RN7SKP291,0.0,0.0
RN7SKP191,0.11,0.15
RN7SKP149,0.0,0.0
RN7SKP56,1.82,16.07
RN7SKP269,1.83,3.87
RN7SKP28,0.0,0.0
RN7SKP7,0.0,0.0
RN7SKP22,2.51,7.95
RN7SKP207,0.0,0.0
RN7SKP24,0.32,0.4
RN7SKP281,0.0,0.0
RN7SKP79,0.09,0.23
RN7SKP262,0.0,0.0
RN7SKP122,0.0,0.0
RN7SKP160,0.49,0.63
RN7SKP52,0.0,0.0
RN7SKP15,0.0,0.0
RN7SKP87,0.0,0.0
RN7SKP142,0.0,0.0
RN7SKP58,0.28,0.33
RN7SKP107,0.07,0.15
RN7SKP268,1.21,1.6
RN7SKP294,0.0,0.0
RN7SKP150,0.62,1.6
RN7SKP90,0.13,0.78
RN7SKP29,0.0,0.0
RN7SKP157,0.0,0.0
RN7SKP177,0.0,0.0
RN7SKP206,0.0,0.0
RN7SKP227,0.0,0.0
RN7SKP299,0.0,0.0
RN7SKP23,0.01,0.02
RN7SKP34,0.0,0.0
RN7SKP119,0.17,0.2
RN7SKP189,0.18,0.21
RN7SKP244,0.38,0.46
RN7SKP27,0.0,0.0
RN7SKP253,2.41,4.35
RN7SKP137,2.6,3.35
RN7SKP180,0.87,1.49
RN7SKP3,0.0,0.0
RN7SKP212,0.0,0.0
RN7SKP140,0.0,0.0
RN7SKP275,0.0,0.0
RN7SKP168,0.15,0.13
RN7SKP110,3.55,4.49
