Gene,Max_TPM,Max_FPKM
RNY4P24,0.0,0.0
RNY1P8,0.0,0.0
RNY4P3,0.0,0.0
RNY1P12,0.0,0.0
RNY1P16,12.96,16.37
RNY3P14,0.0,0.0
RNY4P15,,
RNY4P36,0.0,0.0
RNY4P18,0.0,0.0
RNY4P21,,
RNY1P13,0.0,0.0
RNY3P11,8.34,9.19
RNY4P23,0.0,0.0
RNY1P2,0.0,0.0
RNY5P8,,
RNY3P13,0.0,0.0
RNY4P26,,
RNY4P5,,
RNY1P4,0.0,0.0
RNY4P8,,
RNY4P20,0.0,0.0
RNY4P27,0.0,0.0
RNY1P10,0.0,0.0
RNY4,0.0,0.0
RNY4P4,,
RNY4P6,0.0,0.0
RNY5P3,,
RNY3P10,0.0,0.0
RNY1P1,0.0,0.0
RNY1P9,1.95,3.42
RNY4P22,,
RNY4P1,,
RNY1P5,0.0,0.0
RNY5P9,,
RNY3P1,0.0,0.0
RNY5P2,,
RNY3P15,0.0,0.0
RNY3P16,0.0,0.0
RNY1P7,0.0,0.0
RNY1P3,0.0,0.0
RNY4P11,,
RNY5P6,,
RNY3P4,0.0,0.0
RNY4P16,0.0,0.0
RNY5P4,,
RNY4P31,,
RNY3P12,0.0,0.0
RNY1P11,5.41,6.2
RNY4P14,0.0,0.0
RNY4P34,0.0,0.0
RNY1P14,6.33,7.13
RNY4P17,0.0,0.0
RNY5P7,,
RNY3P3,0.0,0.0
RNY3P2,10.9,13.19
RNY3P5,0.0,0.0
RNY4P7,0.0,0.0
RNY3P7,0.0,0.0
RNY1P15,0.0,0.0
RNY4P13,0.0,0.0
RNY4P25,0.0,0.0
RNY5,,
RNY3P6,,
RNY5P5,,
RNY3P9,0.0,0.0
RNY4P37,0.0,0.0
RNY4P2,,
RNY5P10,,
RNY4P29,0.0,0.0
RNY4P28,0.0,0.0
RNY4P9,0.0,0.0
RNY4P10,0.0,0.0
RNY4P30,0.0,0.0
RNY3P8,0.0,0.0
RNY1,72.12,67.31
RNY4P19,0.0,0.0
RNY5P1,,
RNY1P6,0.0,0.0
RNY3,0.0,0.0
